genre_name,genre_id
Electronic,1
Hip Hop,2
Pop,3
Stage & Screen,4
Rock,5
Funk / Soul,6
Non-Music,7
Reggae,8
Jazz,9
Blues,10
Folk,11
World,12
& Country,13
Children's,14
Latin,15
Classical,16
