release_id,genre_id,position
3345,2,1
4429,2,1
14660,2,1
15706,1,1
21661,1,1
21661,2,2
24501,1,1
24501,2,2
24561,1,1
24561,2,2
25793,1,1
25793,2,2
25796,1,1
25796,2,2
26099,2,1
